name,target,equipment,Level,gym,home,goal,bodyPart,type,sets,cluster
Partner plank band row,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Banded crunch isometric hold,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4,5
FYR Banded Plank Jack,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Banded crunch,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Crunch,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Decline band press sit-up,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4,5
FYR2 Banded Frog Pump,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Band low-to-high twist,abs,band,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Barbell roll-out,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Barbell Ab Rollout - On Knees,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Decline bar press sit-up,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Bench barbell roll-out,abs,barbell,Beginner,1,0,Gain Muscle,waist,weight,4,26
Barbell Side Bend,abs,barbell,Beginner,1,0,Gain Muscle,waist,weight,3,26
Seated bar twist,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Single-arm landmine pull and press,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Barbell Ab Roll Out - Gethin Variation,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
30 Barbell Floor Wiper,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
30 Barbell Roll-Out,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Decline plate sit-up,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,4,5
KV Barbell Hip Thrust,abs,barbell,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Advanced Kettlebell Windmill,abs,kettlebell,Beginner,1,0,Gain Muscle,waist,weight,3,26
Kettlebell Windmill,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Kettlebell Pass Between The Legs,abs,kettlebell,Beginner,1,0,Gain Muscle,waist,weight,4,26
Kettlebell 3-point leg extension,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Double Kettlebell Swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Burpee over kettlebell,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Kettlebell toe-touch,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Kettlebell swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Two-way swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Kettlebell crab reach,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Taylor Single-Arm Kettlebell Swing,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Kettlebell Up to Elbow Down,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
FYR2 Double-Kettlebell Ski,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
FYR2 Kettlebell Hike,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
FYR2 Kettlebell Cross-Body Catch,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
FYR2 Kettlebell Duck Walk,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
FYR2 Kettlebell Get-Up Reach,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
FYR2 Kettlebell Juggle,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,5,5
FYR2 Squat-Clean-Alternating-Press Complex,abs,kettlebell,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Dumbbell V-Sit Cross Jab,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell spell caster,abs,dumbbell,Beginner,1,1,Gain Muscle,waist,weight,4,26
Dumbbell side bend,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell crunch,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Dumbbell Fix Dumbbell Sprawl,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell Fix Alternating Renegade Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Dumbbell Fix Dumbbell Mountain Climber,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell Fix Dumbbell Russian Twist,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Dumbbell Fix Dumbbell Pull-Over,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Dumbbell Fix Dumbbell Sit-Up,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Dumbbell Fix Dumbbell Front Squat,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Dumbbell Fix Full Man Maker,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell T-hold,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Dumbbell hollow-body floor press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell crusher,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
