goal,level,gender,Equipment Required,Day 1 Body Parts,Day 2 Body Parts,Day 3 Body Parts,Day 4 Body Parts,Day 5 Body Parts,Day 6 Body Parts,Day 7 Body Parts
Gain Muscle,Intermediate,Male & Female,"Bodyweight, Dumbbells","chest, chest, upper arms, upper arms, shoulders, shoulders, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist, waist","back, back, chest, back, upper arms, upper arms, upper arms, upper arms","upper legs, back, upper legs, -, lower arms, upper arms, waist, waist","back, shoulders, chest, back, upper arms, upper arms, upper arms, upper arms, back","chest, chest, upper arms, upper arms, shoulders, shoulders, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist, waist"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","upper legs, lower legs, back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","shoulders, shoulders, shoulders, -, back, back, lower arms, upper arms, -","upper legs, lower legs, back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms"
Gain Muscle,Advanced,Male,"Barbell, Bodyweight, Dumbbells, Machines","chest, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","shoulders, shoulders, shoulders, shoulders, back, back, lower arms, upper arms, lower arms, upper arms","upper legs, upper legs, upper legs, lower legs, -, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","shoulders, shoulders, shoulders, shoulders, back, back, lower arms, upper arms, lower arms, upper arms"
 Lose Weight,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Kettle Bells","chest, back, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, waist","chest, back, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, waist","chest, back, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, waist, waist","chest, back, shoulders, back, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Dumbbells, Machines","chest, chest, back, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, -","chest, chest, back, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","chest, chest, back, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, -","chest, chest, back, back, shoulders, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, back, shoulders, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, lower arms, upper arms, upper legs, upper legs, lower legs, lower arms, upper arms, waist, -","chest, upper legs, lower legs, shoulders, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, lower arms, upper arms, upper legs, upper legs, lower legs, lower arms, upper arms, waist, upper legs","chest, back, shoulders, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, lower arms, upper arms, upper legs, upper legs, lower legs, lower arms, upper arms, waist, -","chest, upper legs, lower legs, shoulders, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","upper legs, lower legs, back, back, back, -, back","chest, chest, chest, chest, chest, -, waist","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","shoulders, shoulders, shoulders, shoulders, back, waist, waist","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, back, back, -, back","chest, chest, chest, chest, chest, -, waist"
Gain Muscle,Intermediate,Male & Female,Dumbbells,"chest, chest, upper arms, upper arms, shoulders, shoulders, upper arms, upper arms","back, back, chest, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, -, lower arms, upper arms","chest, chest, shoulders, shoulders, shoulders, upper arms, upper arms","back, -, chest, upper arms, upper arms, upper arms, upper arms","back, upper legs, upper legs, -, lower arms, upper arms","chest, chest, upper arms, upper arms, shoulders, shoulders, upper arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Bodyweight, Dumbbells","back, chest, shoulders, chest, upper arms, upper arms, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist","back, shoulders, chest, back, upper arms, upper arms, upper arms, upper arms, back","upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms, waist","back, chest, shoulders, chest, upper arms, upper arms, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, upper legs, lower legs, lower arms, upper arms, waist","back, shoulders, chest, back, upper arms, upper arms, upper arms, upper arms, back"
Gain Muscle,Beginner,Male & Female,"Barbell, Cables, Dumbbells, Machines","upper legs, upper legs, upper legs, upper legs","chest, chest, chest, upper arms, upper arms","upper legs, lower legs, upper legs, upper legs, lower legs, upper legs","shoulders, shoulders, shoulders, upper arms, upper arms","back, back, shoulders, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs","chest, chest, chest, upper arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Other","back, back, chest, shoulders, lower arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs","back, -, upper arms, upper arms, shoulders, lower arms, upper arms","upper legs, lower legs, -, upper legs, waist","back, back, upper arms, upper arms, -, upper arms, upper arms, lower arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist","back, -, upper arms, upper arms, shoulders, upper arms, upper arms, lower arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, back, back, back, upper legs","shoulders, shoulders, shoulders, -, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, back, back, back, upper legs"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","back, back, back, shoulders, chest, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","back, back, back, -, back, upper legs, shoulders, shoulders, -, shoulders, -, shoulders","chest, chest, chest, chest, upper arms, upper arms, -, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -","upper arms, upper arms, upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms, -","waist, waist, waist, waist, waist, waist","back, back, back, shoulders, chest, chest, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar, Machines","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, back, back, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, cardio","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower legs","upper arms, upper arms, upper arms, upper arms, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Beginner,Male,"Bodyweight, Dumbbells","upper legs, lower legs, chest, back, upper arms, upper arms, upper arms, upper arms, waist","upper legs, lower legs, upper legs, lower legs, shoulders, upper legs, lower legs, back, waist","upper legs, lower legs, chest, back, upper arms, upper arms, upper arms, upper arms, upper legs, lower legs","upper legs, lower legs, chest, back, upper arms, upper arms, upper arms, upper arms, Not Found","upper legs, lower legs, upper legs, lower legs, shoulders, upper legs, lower legs, shoulders, waist","upper legs, lower legs, chest, back, upper arms, upper arms, lower arms, upper arms, upper legs, lower legs","upper legs, lower legs, chest, back, upper arms, upper arms, upper arms, upper arms, waist"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, chest, shoulders, shoulders, chest","back, back, back, back, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","chest, shoulders, shoulders, back, back","chest, chest, shoulders, shoulders, chest","back, back, back, back, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms"
 Lose Weight,Advanced,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, lower legs, back, back, back, shoulders, upper arms, upper arms","chest, shoulders, chest, chest, shoulders, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms","shoulders, chest, shoulders, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","back, back, back, back, upper arms, upper arms, upper arms, upper arms","waist, waist, waist, waist, waist, waist"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, chest, shoulders, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms, lower arms, upper arms, waist, waist, waist","back, back, back, back, upper legs, upper arms, upper arms, upper arms, upper arms","waist, waist, waist, waist, waist","shoulders, shoulders, chest, chest, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, upper arms, upper arms, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","waist, waist, waist, waist, waist"
 Lose Weight,Intermediate,Male & Female,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs","chest, chest, back, back, shoulders, shoulders, shoulders, -, upper arms, upper arms","upper legs, lower legs, -, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms, -","shoulders, shoulders, back, back, chest, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs","chest, chest, back, back, shoulders, shoulders, shoulders, -, upper arms, upper arms","upper legs, lower legs, -, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms, -"
 Lose Weight,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, EZ Bar, Medicine Ball","chest, chest, chest, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","back, back, back, back, shoulders, upper arms, upper arms, upper arms, upper arms, -, -","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms, waist, waist","chest, chest, chest, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist","back, back, back, back, shoulders, upper arms, upper arms, upper arms, upper arms, -, -","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms, waist, waist","chest, chest, chest, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist, waist"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, chest, -, chest, chest","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","shoulders, shoulders, shoulders, back, shoulders, back","upper legs, lower legs, back, back, back, back","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, chest, -, chest, chest","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms"
Gain Muscle,Beginner,Male & Female,Bodyweight,"chest, back, -, upper arms, upper arms, -, lower arms, upper arms, upper legs, upper legs, waist, -","chest, back, upper arms, upper arms, back, waist, upper legs, upper legs, upper legs, upper legs, -","chest, back, -, upper arms, upper arms, -, lower arms, upper arms, upper legs, upper legs, waist, -","chest, back, upper arms, upper arms, back, waist, upper legs, upper legs, upper legs, upper legs, -","chest, back, -, upper arms, upper arms, -, lower arms, upper arms, upper legs, upper legs, waist, -","chest, back, upper arms, upper arms, back, waist, upper legs, upper legs, upper legs, upper legs, -","chest, back, -, upper arms, upper arms, -, lower arms, upper arms, upper legs, upper legs, waist, -"
 Lose Weight,Advanced,Male & Female,"Barbell, Bodyweight, Dumbbells, Machines","back, back, back, back, back, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, upper arms, upper arms, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs","shoulders, shoulders, shoulders, shoulders, shoulders, back, back, back","lower arms, upper arms, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms, upper arms, upper arms","back, back, back, back, back, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","chest, upper arms, upper arms, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, chest, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms","back, back, shoulders, back, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, lower legs, -, lower arms, upper arms, waist, waist","chest, chest, chest, shoulders, shoulders","back, back, chest, shoulders, -","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, waist","upper legs, upper legs, upper legs, -, lower arms, upper arms"
Gain Muscle,Intermediate,Male,"Barbell, Cables, Dumbbells, Machines","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, -, back, back, -, -, -","upper legs, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms","shoulders, shoulders, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","back, back, upper legs, lower legs, upper legs, lower legs","chest, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms","back, -, back, back, -, -, -"
